Track Code,Track Name,Country Code,Time Zone
PEG,PEGASUS THOROUGHBRED TRAINING CENTER,USA,America/Los_Angeles
PNS,PENINSULA FARM,USA,America/New_York
RMF,R & M FARMS,USA,America/Chicago
RCE,RACING EDGE TRAINING CENTER,USA,America/New_York
RDE,RED EARTH TRAINING CENTER,USA,America/Chicago
RIS,RISING SUN FARM,USA,America/New_York
RSD,RIVERSIDE DOWNS,USA,America/Chicago
RMT,ROSS MEADOWS,USA,America/Chicago
SGF,SAGAMORE FARM,USA,America/New_York
STC,SALLISAW EQUINE TRAINING CENTER,USA,America/Chicago
SAM,SAM-SON FARM,USA,America/New_York
SCT,SANDERS CREEK TRAINING CENTER,USA,America/New_York
SCH,SCHULTZ RACING STABLE,USA,America/Denver
SBF,SHADYBROOK FARM INC.,USA,America/New_York
SVR,SILVER SPRINGS TRAINING CENTER,USA,America/New_York
SIL,SILVER STAR EQUINE CENTER,USA,America/Chicago
SLH,SILVERLEAF HILLS TRAINING CENTER,USA,America/New_York
STR,SINATRA THOROUGHBRED RACING,USA,America/New_York
SKY,SKYLIGHT TRAINING CENTER,USA,America/New_York
SLF,SOLERA FARM,USA,America/New_York
SBT,SOUTHERN BREEZE TRAINING CTR,USA,America/New_York
SHS,SOVEREIGN HILL STABLES,USA,America/New_York
SSS,STANLEY STABLES,USA,America/New_York
STF,STARSFELL FARM,USA,America/New_York
SGC,STARTING GATE TRAINING CENTER,USA,America/New_York
SPC,STARTING POINT TRAINING CENTER,USA,America/New_York
SLT,STOCKLAND,USA,America/New_York
STT,STONESTREET TRAINING LLC,USA,America/New_York
SKF,STRICKLAND FARM,USA,America/New_York
SUM,SUMMERFIELD TRAINING CENTER,USA,America/New_York
SFT,SUNNYSIDE FARM TRAINING CENTER,USA,America/New_York
SYL,SYLMAR FARM,USA,America/New_York
TAP,TAPETA FARM,USA,America/New_York
TWR,TEAM WORK RACING,USA,America/New_York
TCS,THE CROSSROADS SOUTH,USA,America/New_York
GLP,THE GALLOPS TRAINING CENTER,USA,America/New_York
CCT,THE TRAINING CENTER AT COPPER CROWNE,USA,America/Chicago
TCC,THOROUGHBRED CHAMPIONS TRAINING CENTER,USA,America/New_York
TOO,TOOLE'S TRAINING CENTER,USA,America/New_York
TSF,TRACKSIDE FARM,USA,America/New_York
VTC,VICTORIA TRAINING CENTER,USA,America/Chicago
VQF,VICTORY QUEST FARM,USA,America/New_York
WRC,W R TRAINING CENTER,USA,America/Chicago
WLN,WALNUT HALL,USA,America/New_York
WCT,WEBB CARROLL TRAINING CENTER,USA,America/New_York
WTC,WEBSTER TRAINING CENTER,USA,America/New_York
WSF,WESFIELD FARM,USA,America/New_York
WKY,WEST KY THOROUGHBRED TRAINING CENTER,USA,America/Chicago
WST,WESTAMPTON FARMS,USA,America/New_York
WHL,WHEELER TRAINING STATION,USA,America/Indiana/Indianapolis
WHT,WHISPER HILL TRAINING CENTER,USA,America/New_York
WM,WILLISTON MILE,USA,America/New_York
WND,WINDING OAKS FARM,USA,America/New_York
WSR,WINSTAR TRAINING CENTER,USA,America/New_York
WOD,WOODSIDE RANCH,USA,America/New_York
